student_id,age,gender,city,course_stream,study_hours_per_week,attendance_rate,prior_gpa_10pt,has_internet,device_type,parental_education,test_score,admission_date,fee_paid_inr,scholarship,comments
s0085,19,nan,hyderabad,nan,12.1,79.5,7.51,no,desktop,undergrad,52.7,,,no,transferred from another program
s0086,20,other,mumbai,bsc,14.5,95.5,8.38,no,tablet,phd,78.6,2023-08-06,,nan,good coder
s0087,25,male,pune,ee,19.3,53.4,9.2,yes,mobile,nan,71.7,,64779.0,nan,nan
s0088,23,nan,delhi,bba,16.8,92.7,8.42,yes,laptop,postgrad,59.5,,,yes,nan
s0089,20,nan,bengaluru,bsc,22.8,57.1,4.99,no,mobile,phd,48.8,,57619.0,yes,late enrollment
s0090,24,female,remote,ece,8.2,54.8,5.66,yes,tablet,postgrad,81.1,,,nan,nan
s0091,22,female,kolkata,bba,16.4,54.9,6.45,nan,laptop,nan,77.8,2025-06-04,58800.0,yes,needs scholarship support
s0092,26,female,delhi,ee,12.9,93.9,7.23,no,mobile,high school,66.5,,61005.0,no,prefers evening classes
s0093,19,male,hyderabad,bba,22.9,84.9,,no,nan,phd,95.7,,,no,nan
s0094,21,male,mumbai,mba,8.0,76.4,6.33,no,laptop,postgrad,51.9,,60125.0,partial,nan
s0095,21,nan,kolkata,mba,7.8,66.5,7.42,no,mobile,nan,45.1,,51230.0,nan,nan
s0096,16,nan,mumbai,nan,9.0,97.6,6.29,no,laptop,nan,,,48480.0,yes,needs scholarship support
s0097,23,prefer not to say,chennai,ece,1.4,68.5,6.47,no,tablet,undergrad,67.3,,,partial,needs scholarship support
s0098,23,female,mumbai,me,9.4,94.0,5.51,yes,tablet,high school,,,53224.0,no,nan
s0099,22,male,chennai,me,8.2,71.3,6.09,no,tablet,phd,64.4,2024-02-08,52069.0,nan,prefers evening classes
s0100,21,female,pune,ee,12.8,67.6,5.58,yes,laptop,postgrad,73.3,,42773.0,no,nan
s0101,17,other,kolkata,mca,13.7,72.8,6.03,nan,mobile,nan,49.2,,,yes,needs scholarship support
s0102,20,other,kolkata,me,,63.1,8.46,yes,nan,postgrad,89.7,,49415.0,partial,nan
s0103,21,female,bengaluru,ee,16.8,89.9,6.06,yes,laptop,nan,66.8,,73136.0,yes,late enrollment
s0104,19,female,hyderabad,ece,9.1,75.2,,yes,laptop,phd,84.8,,68079.0,yes,nan
s0105,21,female,chennai,mca,7.5,58.9,7.79,yes,nan,nan,73.1,,54495.0,nan,transferred from another program
s0106,24,female,bengaluru,mca,14.5,99.0,7.42,nan,mobile,postgrad,74.9,,78019.0,nan,nan
s0107,29,prefer not to say,mumbai,mba,5.4,68.0,6.17,no,mobile,phd,76.5,,67854.0,yes,nan
s0108,23,nan,mumbai,nan,21.2,77.6,8.04,yes,laptop,postgrad,74.7,,57401.0,nan,nan
s0109,23,female,bengaluru,bsc,17.9,99.4,6.51,no,desktop,undergrad,77.6,,,partial,nan
s0110,22,nan,kolkata,mca,9.7,82.5,7.35,yes,nan,phd,87.9,,78328.0,partial,prefers evening classes
s0111,16,male,mumbai,cs,3.4,52.0,,no,tablet,phd,70.9,,48883.0,yes,good coder
s0112,22,female,remote,ee,18.8,101.4,7.08,yes,nan,high school,78.6,2023-06-10,46837.0,partial,transferred from another program
s0113,22,nan,pune,mca,11.4,82.7,8.58,yes,mobile,undergrad,66.7,2024-08-11,68181.0,yes,good coder
s0114,31,female,pune,mca,18.2,65.1,6.36,no,laptop,phd,89.6,2024-12-05,79518.0,partial,good coder
s0115,21,male,remote,nan,4.0,53.4,7.16,yes,mobile,nan,57.9,,71074.0,no,good coder
s0116,23,female,bengaluru,cs,9.0,92.6,9.32,no,laptop,postgrad,95.0,,64511.0,yes,nan
s0117,22,female,remote,nan,12.0,82.2,6.45,yes,desktop,nan,67.4,,64758.0,partial,transferred from another program
s0118,18,female,chennai,mca,12.2,77.0,,yes,tablet,postgrad,46.5,,66827.0,no,good coder
s0119,26,other,chennai,bsc,9.7,98.6,8.05,yes,nan,nan,69.9,,66071.0,yes,late enrollment
s0120,25,prefer not to say,bengaluru,cs,15.1,92.3,6.53,yes,desktop,postgrad,57.8,,62250.0,partial,good coder
s0121,25,male,remote,mba,6.7,54.1,7.96,yes,tablet,high school,,,60834.0,partial,prefers evening classes
s0122,19,female,chennai,bba,11.3,63.7,8.37,no,mobile,nan,58.2,,59499.0,no,nan
s0123,27,nan,kolkata,mca,12.6,59.9,7.95,no,laptop,phd,61.3,,53968.0,nan,late enrollment
s0124,17,other,remote,mca,14.6,89.6,5.32,no,mobile,postgrad,39.7,,57755.0,nan,needs scholarship support
s0125,24,nan,kolkata,nan,15.6,47.0,6.33,nan,laptop,high school,61.2,,46456.0,no,nan
s0126,30,female,chennai,nan,6.4,79.2,,nan,laptop,nan,31.6,,59213.0,no,prefers evening classes
s0127,18,female,pune,nan,4.3,90.7,7.11,no,laptop,nan,44.2,,52091.0,yes,transferred from another program
s0128,20,nan,chennai,ee,18.4,97.6,7.94,yes,nan,nan,79.4,,51171.0,nan,late enrollment
s0129,22,male,kolkata,bsc,13.7,65.5,7.41,nan,desktop,high school,79.8,,61439.0,yes,nan
s0130,20,other,delhi,ee,8.3,94.3,5.6,yes,laptop,nan,74.4,,71136.0,partial,needs scholarship support
s0131,16,male,hyderabad,bba,19.8,51.6,7.66,yes,desktop,nan,53.5,,,no,nan
s0132,22,other,mumbai,mca,12.6,95.8,7.93,yes,tablet,phd,67.3,,47436.0,yes,nan
s0133,18,nan,remote,bsc,17.9,52.6,7.87,no,nan,postgrad,67.9,,52083.0,no,prefers evening classes
s0134,24,nan,delhi,cs,12.3,68.8,8.5,no,laptop,undergrad,50.6,,67526.0,yes,transferred from another program
s0135,19,male,chennai,nan,22.3,92.8,8.2,no,nan,nan,90.6,,,partial,good coder
s0136,28,male,pune,mba,20.8,54.0,7.75,yes,mobile,postgrad,81.2,,58203.0,partial,good coder
s0137,19,prefer not to say,bengaluru,mca,10.8,58.8,7.12,no,laptop,undergrad,64.7,,64400.0,nan,prefers evening classes
s0138,21,male,chennai,me,16.9,88.3,5.21,yes,desktop,nan,68.4,2024-12-08,52253.0,nan,transferred from another program
s0139,25,female,pune,bsc,15.2,88.2,7.72,yes,laptop,undergrad,71.1,2024-10-08,60843.0,partial,nan
s0140,17,male,hyderabad,me,18.8,83.5,7.45,nan,mobile,nan,37.4,,49328.0,yes,nan
s0141,23,female,chennai,nan,7.2,86.6,7.53,no,laptop,postgrad,64.3,,55189.0,no,nan
s0142,27,male,kolkata,nan,15.4,77.6,5.67,yes,laptop,nan,57.8,,62558.0,partial,needs scholarship support
s0143,16,male,bengaluru,cs,17.3,60.1,5.9,nan,desktop,nan,53.0,,47256.0,partial,nan
s0144,23,male,pune,mca,3.2,65.7,8.46,yes,mobile,nan,63.8,,,yes,nan
s0145,23,female,pune,nan,6.1,55.9,7.15,no,laptop,nan,95.0,,59843.0,partial,late enrollment
s0146,25,female,pune,nan,1.8,99.5,8.02,no,tablet,undergrad,77.6,2023-01-04,64420.0,partial,nan
s0147,17,prefer not to say,hyderabad,cs,10.7,80.0,7.23,nan,nan,nan,59.4,,61791.0,yes,nan
s0148,17,female,chennai,ece,15.6,69.1,7.24,yes,laptop,high school,76.6,2023-07-09,70913.0,partial,prefers evening classes
s0149,24,nan,hyderabad,mca,19.5,72.7,8.33,no,tablet,nan,89.0,,61002.0,nan,prefers evening classes
s0150,23,other,remote,me,12.4,101.8,6.58,no,mobile,nan,-5.0,,,nan,good coder
s0151,23,other,mumbai,bsc,20.1,54.2,7.32,yes,mobile,high school,68.9,,60978.0,nan,nan
s0152,23,prefer not to say,mumbai,me,60.0,80.2,6.65,no,mobile,postgrad,58.3,,64346.0,nan,nan
s0153,19,nan,remote,cs,3.5,75.4,6.68,no,desktop,phd,78.5,,,partial,needs scholarship support
s0154,23,other,chennai,bba,11.7,81.7,6.83,nan,mobile,high school,73.9,,60325.0,no,nan
s0155,23,female,kolkata,mca,13.9,46.1,7.47,yes,nan,nan,81.4,,54384.0,nan,nan
s0156,19,nan,hyderabad,mba,11.8,97.3,6.63,yes,desktop,postgrad,77.5,,54697.0,nan,needs scholarship support
s0157,29,female,bengaluru,ee,1.7,100.9,8.71,yes,mobile,nan,83.7,,48779.0,partial,nan
s0158,24,male,pune,bsc,11.6,78.9,6.13,no,desktop,undergrad,60.0,,73997.0,partial,late enrollment
s0159,17,nan,pune,nan,5.5,86.8,6.98,yes,nan,high school,,,50049.0,yes,nan
s0160,24,male,chennai,mba,15.3,100.3,6.67,yes,nan,postgrad,71.0,,54457.0,nan,transferred from another program
s0161,18,female,kolkata,mca,,87.4,8.94,nan,laptop,postgrad,99.1,,54253.0,yes,needs scholarship support
s0162,25,female,mumbai,nan,7.3,54.2,7.44,no,desktop,nan,57.7,,67159.0,nan,good coder
s0163,26,male,mumbai,mca,9.4,79.6,,yes,laptop,phd,94.0,,57640.0,no,nan
s0164,-1,prefer not to say,pune,bba,6.7,81.4,5.42,yes,tablet,undergrad,,2023-01-07,69982.0,partial,good coder
s0165,26,nan,chennai,ece,11.7,70.4,7.52,nan,mobile,undergrad,58.2,,,partial,nan
s0166,24,prefer not to say,hyderabad,bsc,16.8,89.2,8.27,yes,tablet,undergrad,60.7,,,yes,nan
s0167,25,female,mumbai,cs,7.1,101.1,7.3,no,nan,nan,63.2,,53317.0,yes,nan
s0168,29,male,nan,nan,14.5,100.5,8.48,nan,tablet,postgrad,74.4,2023-04-06,,partial,prefers evening classes
s0169,21,male,kolkata,cs,9.3,72.1,6.58,yes,laptop,nan,75.8,2023-11-03,50499.0,partial,good coder
s0170,19,female,mumbai,mba,8.0,51.8,8.89,no,tablet,nan,59.4,,,partial,needs scholarship support
s0171,19,male,mumbai,ee,11.5,104.1,9.96,no,laptop,postgrad,67.6,,65070.0,nan,late enrollment
s0172,19,male,delhi,ece,6.8,95.3,6.76,no,tablet,undergrad,,,,nan,nan
s0173,22,nan,mumbai,cs,9.2,52.5,6.67,yes,nan,postgrad,,,58518.0,no,nan
s0174,23,male,remote,cs,6.0,100.3,8.94,nan,nan,phd,74.5,,58961.0,nan,needs scholarship support
s0175,23,male,bengaluru,ee,21.8,97.2,9.1,yes,laptop,postgrad,68.6,,60350.0,partial,late enrollment
s0176,25,male,remote,ee,12.2,76.1,6.57,no,mobile,nan,69.8,,,nan,transferred from another program
s0177,22,female,chennai,cs,,80.5,6.7,yes,desktop,postgrad,77.2,,67711.0,yes,late enrollment
s0178,28,male,chennai,nan,13.1,68.9,6.86,yes,mobile,high school,52.7,,77684.0,partial,nan
s0179,21,male,hyderabad,me,60.0,48.3,5.59,yes,nan,phd,64.1,,,nan,good coder
s0180,32,female,remote,ee,10.9,65.1,6.1,nan,mobile,high school,43.0,,,partial,good coder
s0181,24,male,remote,me,15.1,93.2,6.0,yes,tablet,undergrad,74.0,,59294.0,yes,good coder
s0182,19,male,remote,bsc,15.8,45.3,,no,tablet,undergrad,77.7,,,yes,transferred from another program
s0183,18,female,kolkata,ece,9.3,65.0,7.16,yes,nan,nan,60.8,,53571.0,nan,prefers evening classes
s0184,24,nan,mumbai,nan,,68.9,7.48,nan,nan,nan,91.6,2023-05-03,73113.0,partial,nan
s0185,21,male,bengaluru,nan,10.6,77.2,9.06,no,mobile,nan,49.6,,73422.0,no,nan
s0186,25,female,hyderabad,bsc,0.5,100.2,6.0,no,mobile,phd,46.0,,55571.0,yes,nan
s0187,24,prefer not to say,remote,bba,4.4,65.8,8.38,no,tablet,nan,71.4,,64552.0,no,nan
s0188,22,male,remote,mba,18.8,65.8,6.94,yes,desktop,postgrad,83.7,,73027.0,nan,transferred from another program
s0189,19,nan,delhi,me,20.2,89.3,7.14,no,laptop,high school,93.3,,56967.0,yes,good coder
s0190,120,other,hyderabad,nan,10.8,72.1,8.01,yes,desktop,phd,61.1,,,no,nan
s0191,20,prefer not to say,remote,nan,14.9,58.5,5.85,no,nan,high school,84.2,,55347.0,yes,nan
s0192,25,male,hyderabad,ece,13.6,72.1,7.66,no,mobile,postgrad,67.4,,51882.0,no,transferred from another program
s0193,23,prefer not to say,mumbai,me,27.4,53.5,7.4,no,desktop,nan,65.4,2024-01-02,54806.0,partial,transferred from another program
s0194,17,female,delhi,bba,17.6,55.6,7.79,yes,mobile,high school,81.3,,50208.0,partial,good coder
s0195,23,male,hyderabad,ece,11.4,74.9,7.55,yes,laptop,phd,77.8,,60273.0,nan,good coder
s0196,23,female,bengaluru,nan,7.2,70.1,,no,tablet,postgrad,44.4,,53840.0,yes,transferred from another program
s0197,19,female,bengaluru,cs,4.0,99.9,6.43,yes,laptop,nan,90.1,,61870.0,no,nan
s0198,23,female,chennai,bba,13.0,66.7,6.56,no,mobile,nan,88.7,2023-07-04,47553.0,nan,needs scholarship support
s0199,22,male,nan,nan,8.2,79.8,6.45,no,laptop,nan,58.6,,62647.0,partial,good coder
s0200,18,female,delhi,mca,4.9,82.9,6.53,no,mobile,postgrad,73.9,,66668.0,partial,nan
s0182,19,male,nan,bsc,15.8,45.3,,no,tablet,undergrad,77.7,,,yes,transferred from another program
